label
Lepidoptera
unclassified Lepidoptera
Glossata
environmental samples <Lepidoptera>
Zeugloptera
Aglossata
Heterobathmiina
Lepitoptera incertae sedis
Lepidoptera sp. BOLD:AAI6540
Lepidoptera sp. BOLD:AAI6598
Lepidoptera sp. BOLD:AAI7125
Lepidoptera sp. BOLD:AAI7610
Lepidoptera sp. BOLD:AAI8040
Lepidoptera sp. BOLD:AAI8428
Lepidoptera sp. BOLD:AAI8637
Lepidoptera sp. BOLD:AAI9113
Lepidoptera sp. BOLD:AAI9214
Lepidoptera sp. BOLD:AAJ0243
Lepidoptera sp. BOLD:AAJ0510
Lepidoptera sp. BOLD:AAJ0557
Lepidoptera sp. BOLD:AAJ0985
Lepidoptera sp. BOLD:AAJ1056
Lepidoptera sp. BOLD:AAJ1567
Lepidoptera sp. BOLD:AAJ1568
Lepidoptera sp. BOLD:AAJ1712
Lepidoptera sp. BOLD:AAJ2079
Lepidoptera sp. BOLD:AAJ2460
Lepidoptera sp. BOLD:AAJ2552
Lepidoptera sp. BOLD:AAJ2666
Lepidoptera sp. BOLD:AAJ2711
Lepidoptera sp. BOLD:AAJ2781
Lepidoptera sp. BOLD:AAJ3117
Lepidoptera sp. BOLD:AAJ3902
Lepidoptera sp. BOLD:AAJ3924
Lepidoptera sp. BOLD:AAJ4397
Lepidoptera sp. BOLD:AAJ4569
Lepidoptera sp. BOLD:AAJ4575
Lepidoptera sp. BOLD:AAJ5316
Lepidoptera sp. BOLD:AAJ5646
Lepidoptera sp. BOLD:AAJ5719
Lepidoptera sp. BOLD:AAJ5743
Lepidoptera sp. BOLD:AAJ5890
Lepidoptera sp. BOLD:AAJ6145
Lepidoptera sp. BOLD:AAJ6334
Lepidoptera sp. BOLD:AAJ6337
Lepidoptera sp. BOLD:AAJ7438
Lepidoptera sp. BOLD:AAJ8497
Lepidoptera sp. BOLD:AAJ8927
Lepidoptera sp. BOLD:AAJ9461
Lepidoptera sp. BOLD:AAJ9473
Lepidoptera sp. BOLD:AAJ9555
Lepidoptera sp. BOLD:AAJ9563
Lepidoptera sp. BOLD:AAK0676
Lepidoptera sp. BOLD:AAK0947
Lepidoptera sp. BOLD:AAK1176
Lepidoptera sp. BOLD:AAK2813
Lepidoptera sp. BOLD:AAK3198
Lepidoptera sp. BOLD:AAK3686
Lepidoptera sp. BOLD:AAK3945
Lepidoptera sp. BOLD:AAK4024
Lepidoptera sp. BOLD:AAK4028
Lepidoptera sp. BOLD:AAK4081
Lepidoptera sp. BOLD:AAK4099
Lepidoptera sp. BOLD:AAK4150
Lepidoptera sp. BOLD:AAK4854
Lepidoptera sp. BOLD:AAK5589
Lepidoptera sp. BOLD:AAK6163
Lepidoptera sp. BOLD:AAK7269
Lepidoptera sp. BOLD:AAK7642
Lepidoptera sp. BOLD:AAK7646
Lepidoptera sp. BOLD:AAK9163
Lepidoptera sp. BOLD:AAK9302
Lepidoptera sp. BOLD:AAK9789
Lepidoptera sp. BOLD:AAK9941
Lepidoptera sp. BOLD:AAL0551
Lepidoptera sp. BOLD:AAL1789
Lepidoptera sp. BOLD:AAL2360
Lepidoptera sp. BOLD:AAL2695
Lepidoptera sp. BOLD:AAL3621
Lepidoptera sp. BOLD:AAL4117
Lepidoptera sp. BOLD:AAL6982
Lepidoptera sp. BOLD:AAL7020
Lepidoptera sp. BOLD:AAL9162
Lepidoptera sp. BOLD:AAN1897
Lepidoptera sp. BOLD:AAN9357
Lepidoptera sp. BOLD:AAO0398
Lepidoptera sp. BOLD:AAO0828
Lepidoptera sp. BOLD:AAO8229
Lepidoptera sp. BOLD:AAP0998
Lepidoptera sp. BOLD:AAP1031
Lepidoptera sp. BOLD:AAP1032
Lepidoptera sp. BOLD:AAP1051
Lepidoptera sp. BOLD:AAP1052
Lepidoptera sp. BOLD:AAP1053
Lepidoptera sp. BOLD:AAP1083
Lepidoptera sp. BOLD:AAP1084
Lepidoptera sp. BOLD:AAP1110
Lepidoptera sp. BOLD:AAP1111
Lepidoptera sp. BOLD:AAP1112
Lepidoptera sp. BOLD:AAP1113
Lepidoptera sp. BOLD:AAP1114
Lepidoptera sp. BOLD:AAP1115
Lepidoptera sp. BOLD:AAP1136
Lepidoptera sp. BOLD:AAP1138
Lepidoptera sp. BOLD:AAP1139
Lepidoptera sp. BOLD:AAP1140
Lepidoptera sp. BOLD:AAP1141
Lepidoptera sp. BOLD:AAP1142
Lepidoptera sp. BOLD:AAP1143
Lepidoptera sp. BOLD:AAP1144
Lepidoptera sp. BOLD:AAP1147
Lepidoptera sp. BOLD:AAP1148
Lepidoptera sp. BOLD:AAP1149
Lepidoptera sp. BOLD:AAP1150
Lepidoptera sp. BOLD:AAP1151
Lepidoptera sp. BOLD:AAP1152
Lepidoptera sp. BOLD:AAP1153
Lepidoptera sp. BOLD:AAP1154
Lepidoptera sp. BOLD:AAP1155
Lepidoptera sp. BOLD:AAP1156
Lepidoptera sp. BOLD:AAP1157
Lepidoptera sp. BOLD:AAP1158
Lepidoptera sp. BOLD:AAP1159
Lepidoptera sp. BOLD:AAP1160
Lepidoptera sp. BOLD:AAP1161
Lepidoptera sp. BOLD:AAP1162
Lepidoptera sp. BOLD:AAP1163
Lepidoptera sp. BOLD:AAP1164
Lepidoptera sp. BOLD:AAP1165
Lepidoptera sp. BOLD:AAP1166
Lepidoptera sp. BOLD:AAP1283
Lepidoptera sp. BOLD:AAP1284
Lepidoptera sp. BOLD:AAP1292
Lepidoptera sp. BOLD:AAP1299
Lepidoptera sp. BOLD:AAP1306
Lepidoptera sp. BOLD:AAP1309
Lepidoptera sp. BOLD:AAP1310
Lepidoptera sp. BOLD:AAP1311
Lepidoptera sp. BOLD:AAP1312
Lepidoptera sp. BOLD:AAP1315
Lepidoptera sp. BOLD:AAP1317
Lepidoptera sp. BOLD:AAP1318
Lepidoptera sp. BOLD:AAP1319
Lepidoptera sp. BOLD:AAP1320
Lepidoptera sp. BOLD:AAP1322
Lepidoptera sp. BOLD:AAP1328
Lepidoptera sp. BOLD:AAP1329
Lepidoptera sp. BOLD:AAP1339
Lepidoptera sp. BOLD:AAP1340
Lepidoptera sp. BOLD:AAP1393
Lepidoptera sp. BOLD:AAP1426
Lepidoptera sp. BOLD:AAP1450
Lepidoptera sp. BOLD:AAP1454
Lepidoptera sp. BOLD:AAP1456
Lepidoptera sp. BOLD:AAP1460
Lepidoptera sp. BOLD:AAP1463
Lepidoptera sp. BOLD:AAP1467
Lepidoptera sp. BOLD:AAP1469
Lepidoptera sp. BOLD:AAP1475
Lepidoptera sp. BOLD:AAP1476
Lepidoptera sp. BOLD:AAP1479
Lepidoptera sp. BOLD:AAP1480
Lepidoptera sp. BOLD:AAP1481
Lepidoptera sp. BOLD:AAP1483
Lepidoptera sp. BOLD:AAP1485
Lepidoptera sp. BOLD:AAP1486
Lepidoptera sp. BOLD:AAP1493
Lepidoptera sp. BOLD:AAP1494
Lepidoptera sp. BOLD:AAP1496
Lepidoptera sp. BOLD:AAP1505
Lepidoptera sp. BOLD:AAP1506
Lepidoptera sp. BOLD:AAP1507
Lepidoptera sp. BOLD:AAP1510
Lepidoptera sp. BOLD:AAP1515
Lepidoptera sp. BOLD:AAP1516
Lepidoptera sp. BOLD:AAP1517
Lepidoptera sp. BOLD:AAP1518
Lepidoptera sp. BOLD:AAP1519
Lepidoptera sp. BOLD:AAP1520
Lepidoptera sp. BOLD:AAP1546
Lepidoptera sp. BOLD:AAP1547
Lepidoptera sp. BOLD:AAP1548
